hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,135
2,15,7.5,22.5,463
3,30,22.5,37.5,531
4,45,37.5,52.5,888
5,60,52.5,67.5,872
6,75,67.5,82.5,772
7,90,82.5,97.5,1072
8,105,97.5,112.5,534
9,120,112.5,127.5,108
10,135,127.5,142.5,23
11,150,142.5,157.5,18
12,165,157.5,172.5,14
13,180,172.5,187.5,20
14,195,187.5,202.5,23
15,210,202.5,217.5,41
16,225,217.5,232.5,94
17,240,232.5,247.5,137
18,255,247.5,262.5,151
19,270,262.5,277.5,126
20,285,277.5,292.5,98
21,300,292.5,307.5,82
22,315,307.5,322.5,101
23,330,322.5,337.5,102
24,345,337.5,352.5,71